Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2003,2003,kg/ha,1.15,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2004,2004,kg/ha,0.77,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2005,2005,kg/ha,2.02,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2006,2006,kg/ha,1.04,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2007,2007,kg/ha,1.23,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2008,2008,kg/ha,2.01,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2009,2009,kg/ha,1.08,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2010,2010,kg/ha,1.09,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2011,2011,kg/ha,1.4,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2012,2012,kg/ha,1,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2013,2013,kg/ha,1.34,Fc,Calculated data
EF,Fertilizers,129,Madagascar,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2014,2014,kg/ha,2.76,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2002,2002,kg/ha,20.16,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2003,2003,kg/ha,19.49,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2004,2004,kg/ha,22.88,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2005,2005,kg/ha,19.87,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2006,2006,kg/ha,24.15,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2007,2007,kg/ha,26.9,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2008,2008,kg/ha,27.39,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2009,2009,kg/ha,19.82,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2010,2010,kg/ha,25.17,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2011,2011,kg/ha,22.74,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2012,2012,kg/ha,29.18,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2013,2013,kg/ha,32.43,Fc,Calculated data
EF,Fertilizers,130,Malawi,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2014,2014,kg/ha,28.36,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2002,2002,kg/ha,118.58,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2003,2003,kg/ha,116.76,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2004,2004,kg/ha,115.37,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2005,2005,kg/ha,111.33,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2006,2006,kg/ha,99.01,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2007,2007,kg/ha,103.71,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2008,2008,kg/ha,86.9,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2009,2009,kg/ha,82.79,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2010,2010,kg/ha,61.01,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2011,2011,kg/ha,94.45,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2012,2012,kg/ha,113.99,Fc,Calculated data
EF,Fertilizers,137,Mauritius,5159,Average use per area of cropland,3102,Nutrient nitrogen N (total),2013,2013,kg/ha,77.95,Fc,Calculated data
