Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1982,1982,No,100,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1983,1983,No,110,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1984,1984,No,120,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1985,1985,No,130,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1986,1986,No,140,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1987,1987,No,150,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1988,1988,No,160,F,FAO estimate
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1989,1989,No,163,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1990,1990,No,163,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1991,1991,No,165,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,29,Burundi,5116,In Use,2455011,Agricultural tractors,1992,1992,No,170,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1961,1961,No,4,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1962,1962,No,4,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1963,1963,No,4,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1964,1964,No,4,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1965,1965,No,4,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1966,1966,No,4,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1967,1967,No,4,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1968,1968,No,4,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1969,1969,No,5,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1970,1970,No,5,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1971,1971,No,5,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1972,1972,No,5,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1973,1973,No,5,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1974,1974,No,5,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1975,1975,No,5,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1976,1976,No,5,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1977,1977,No,6,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1978,1978,No,6,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1979,1979,No,6,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1980,1980,No,6,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1981,1981,No,6,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1982,1982,No,6,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1983,1983,No,6,Q,Official data reported on FAO Questionnaires from countries
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1984,1984,No,6,F,FAO estimate
RM,Machinery,72,Djibouti,5116,In Use,2455011,Agricultural tractors,1985,1985,No,6,F,FAO estimate
