Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EP,Pesticides,196,Seychelles,5159,Average use per area of cropland,1357,Pesticides,1991,1991,kg/ha,2.27,Fc,Calculated data
EP,Pesticides,196,Seychelles,5159,Average use per area of cropland,1357,Pesticides,1992,1992,kg/ha,2.16,Fc,Calculated data
EP,Pesticides,196,Seychelles,5159,Average use per area of cropland,1357,Pesticides,1993,1993,kg/ha,7.69,Fc,Calculated data
EP,Pesticides,196,Seychelles,5159,Average use per area of cropland,1357,Pesticides,1994,1994,kg/ha,8.21,Fc,Calculated data
EP,Pesticides,196,Seychelles,5159,Average use per area of cropland,1357,Pesticides,1995,1995,kg/ha,8.92,Fc,Calculated data
EP,Pesticides,196,Seychelles,5159,Average use per area of cropland,1357,Pesticides,1996,1996,kg/ha,8.68,Fc,Calculated data
EP,Pesticides,196,Seychelles,5159,Average use per area of cropland,1357,Pesticides,1997,1997,kg/ha,6.08,Fc,Calculated data
EP,Pesticides,196,Seychelles,5159,Average use per area of cropland,1357,Pesticides,1998,1998,kg/ha,4.69,Fc,Calculated data
EP,Pesticides,226,Uganda,5159,Average use per area of cropland,1357,Pesticides,1992,1992,kg/ha,0.01,Fc,Calculated data
EP,Pesticides,226,Uganda,5159,Average use per area of cropland,1357,Pesticides,1993,1993,kg/ha,0.01,Fc,Calculated data
EP,Pesticides,226,Uganda,5159,Average use per area of cropland,1357,Pesticides,1994,1994,kg/ha,0.01,Fc,Calculated data
EP,Pesticides,226,Uganda,5159,Average use per area of cropland,1357,Pesticides,1995,1995,kg/ha,0.01,Fc,Calculated data
EP,Pesticides,215,United Republic of Tanzania,5159,Average use per area of cropland,1357,Pesticides,1993,1993,kg/ha,0,Fc,Calculated data
EP,Pesticides,215,United Republic of Tanzania,5159,Average use per area of cropland,1357,Pesticides,1994,1994,kg/ha,0.07,Fc,Calculated data
EP,Pesticides,215,United Republic of Tanzania,5159,Average use per area of cropland,1357,Pesticides,1995,1995,kg/ha,0.06,Fc,Calculated data
EP,Pesticides,215,United Republic of Tanzania,5159,Average use per area of cropland,1357,Pesticides,1996,1996,kg/ha,0,Fc,Calculated data
EP,Pesticides,215,United Republic of Tanzania,5159,Average use per area of cropland,1357,Pesticides,1997,1997,kg/ha,0,Fc,Calculated data
EP,Pesticides,215,United Republic of Tanzania,5159,Average use per area of cropland,1357,Pesticides,1998,1998,kg/ha,0,Fc,Calculated data
EP,Pesticides,251,Zambia,5159,Average use per area of cropland,1357,Pesticides,1994,1994,kg/ha,0.38,Fc,Calculated data
EP,Pesticides,251,Zambia,5159,Average use per area of cropland,1357,Pesticides,1995,1995,kg/ha,0.27,Fc,Calculated data
EP,Pesticides,251,Zambia,5159,Average use per area of cropland,1357,Pesticides,1996,1996,kg/ha,0.58,Fc,Calculated data
EP,Pesticides,181,Zimbabwe,5159,Average use per area of cropland,1357,Pesticides,1990,1990,kg/ha,1.9,Fc,Calculated data
EP,Pesticides,181,Zimbabwe,5159,Average use per area of cropland,1357,Pesticides,1991,1991,kg/ha,2.21,Fc,Calculated data
EP,Pesticides,181,Zimbabwe,5159,Average use per area of cropland,1357,Pesticides,1992,1992,kg/ha,1.07,Fc,Calculated data
EP,Pesticides,181,Zimbabwe,5159,Average use per area of cropland,1357,Pesticides,1993,1993,kg/ha,0.55,Fc,Calculated data
EP,Pesticides,181,Zimbabwe,5159,Average use per area of cropland,1357,Pesticides,1994,1994,kg/ha,0.52,Fc,Calculated data
EP,Pesticides,181,Zimbabwe,5159,Average use per area of cropland,1357,Pesticides,1995,1995,kg/ha,0.81,Fc,Calculated data
EP,Pesticides,181,Zimbabwe,5159,Average use per area of cropland,1357,Pesticides,1996,1996,kg/ha,0.73,Fc,Calculated data
EP,Pesticides,181,Zimbabwe,5159,Average use per area of cropland,1357,Pesticides,1997,1997,kg/ha,0.77,Fc,Calculated data
EP,Pesticides,181,Zimbabwe,5159,Average use per area of cropland,1357,Pesticides,1998,1998,kg/ha,0.82,Fc,Calculated data
EP,Pesticides,181,Zimbabwe,5159,Average use per area of cropland,1357,Pesticides,2012,2012,kg/ha,0.82,Fc,Calculated data
EP,Pesticides,181,Zimbabwe,5159,Average use per area of cropland,1357,Pesticides,2013,2013,kg/ha,0.62,Fc,Calculated data
EP,Pesticides,181,Zimbabwe,5159,Average use per area of cropland,1357,Pesticides,2014,2014,kg/ha,0.53,Fc,Calculated data
